title,cwe,description,cvss_v4,cvss_v4_score,finding,kind,where,snippet,method
128. Insecurely generated cookies - HttpOnly,CWE-1004,The HttpOnly flag is not set for the session cookie in wackopicko/php.ini,CVSS:4.0/AV:N/AC:H/AT:N/PR:L/UI:A/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.0,https://db.fluidattacks.com/wek/128,SAST,1402,"
  1394 | session.cookie_path = /
  1395 |
  1396 | ; The domain for which the cookie is valid.
  1397 | ; http://php.net/session.cookie-domain
  1398 | session.cookie_domain =
  1399 |
  1400 | ; Whether or not to add the httpOnly flag to the cookie, which makes it inaccessible to browser scripting languages such
  1401 | ; http://php.net/session.cookie-httponly
> 1402 | session.cookie_httponly =
  1403 |
  1404 | ; Handler used to serialize data.  php is the standard serializer of PHP.
  1405 | ; http://php.net/session.serialize-handler
  1406 | session.serialize_handler = php
  1407 |
  1408 | ; Defines the probability that the 'garbage collection' process is started
  1409 | ; on every session initialization. The probability is calculated by using
  1410 | ; gc_probability/gc_divisor. Where session.gc_probability is the numerator
       ^ Col 0
",php.general.f128.session_cookie_missing_httponly
078. Insecurely generated token,CWE-1270,It is possible to crack the token's hash and obtain the information it is masking because it is not generated using a secure cryptographic mechanism in wackopicko/website/include/admins.php,CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N/E:U,6.3,https://db.fluidattacks.com/wek/078,SAST,66,"
  57 | function login_admin($adminid)
  58 |    {
  59 |       // Don't trust the php session, we're using our own
  60 |       $query = sprintf(""INSERT into `admin_session` (`id`, `admin_id`, `created_on`) VALUES (NULL, '%s', NOW());"",
  61 |          mysql_real_escape_string($adminid));
  62 |       if ($res = mysql_query($query))
  63 |       {
  64 |   // add the cookie
  65 |   $id = mysql_insert_id();
> 66 |   setcookie(""session"", $id);
  67 |   return mysql_insert_id();
  68 |       }
  69 |       else
  70 |       {
  71 |   return False;
  72 |       }
  73 |    }
     ^ Col 0
",php.mysql.f078.predictable_session_cookie
239. Technical information leak - Errors,CWE-209,"The display of error messages is allowed, which may reveal technical information in wackopicko/php.ini",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,5.3,https://db.fluidattacks.com/wek/239,SAST,479,"
   471 | ; Possible Values:
   472 | ;   Off = Do not display any errors
   473 | ;   stderr = Display errors to STDERR (affects only CGI/CLI binaries!)
   474 | ;   On or stdout = Display errors to STDOUT
   475 | ; Default Value: On
   476 | ; Development Value: On
   477 | ; Production Value: Off
   478 | ; http://php.net/display-errors
>  479 | display_errors = On
   480 |
   481 | ; The display of errors which occur during PHP's startup sequence are handled
   482 | ; separately from display_errors. PHP's default behavior is to suppress those
   483 | ; errors from clients. Turning the display of startup errors on can be useful in
   484 | ; debugging configuration problems. But, it's strongly recommended that you
   485 | ; leave this setting off on production servers.
   486 | ; Default Value: Off
   487 | ; Development Value: On
       ^ Col 0
",php.general.f239.display_errors_on
239. Technical information leak - Errors,CWE-209,"The display of error messages is allowed, which may reveal technical information in wackopicko/website/guestbook.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,5.3,https://db.fluidattacks.com/wek/239,SAST,17,"
   9 |    {
  10 |       $flash['error'] = ""Must include both the name and comment field!"";
  11 |    }
  12 |    else
  13 |    {
  14 |       $res = Guestbook::add_guestbook($_POST[""name""], $_POST[""comment""], False);
  15 |       if (!$res)
  16 |       {
> 17 |   die(mysql_error());
  18 |       }
  19 |    }
  20 | }
  21 |
  22 | $guestbook = Guestbook::get_all_guestbooks();
  23 | ?>
  24 |
  25 | <?php our_header(""guestbook""); ?>
     ^ Col 0
",php.general.f239.error_message_disclosure
239. Technical information leak - Errors,CWE-209,"The display of error messages is allowed, which may reveal technical information in wackopicko/website/include/pictures.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,5.3,https://db.fluidattacks.com/wek/239,SAST,57,"
  51 | function get_some_pictures_by_tag($tag, $not_this, $limit)
  52 |    {
  53 |       $query = sprintf(""SELECT pictures.filename, pictures.id, pictures.user_id, users.login from pictures, users where p
  54 |          mysql_real_escape_string($not_this),
  55 |          mysql_real_escape_string($tag),
  56 |          mysql_real_escape_string($limit));
> 57 |       $res = mysql_query($query) or die(mysql_error());
  58 |       if ($res)
  59 |       {
  60 |   while ($row = mysql_fetch_assoc($res))
  61 |   {
  62 |      $to_ret[] = $row;
  63 |   }
  64 |   return $to_ret;
  65 |       }
  66 |       else
  67 |       {
  68 |   return False;
  69 |       }
  70 |    }
     ^ Col 0
",php.general.f239.error_message_disclosure
239. Technical information leak - Errors,CWE-209,"The display of error messages is allowed, which may reveal technical information in wackopicko/website/include/users.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,5.3,https://db.fluidattacks.com/wek/239,SAST,108,"
   85 | function check_login($username, $pass, $vuln = False)
   86 |    {
   87 |       if ($vuln)
   88 |       {
   89 |   $query = sprintf(""SELECT * from `users` where `login` like '%s' and `password` = SHA1( CONCAT('%s', `salt`)) limit 1;"",
   90 |                     $username,
   91 |                     mysql_real_escape_string($pass));
   92 |       }
   93 |       else
   94 |       {
   95 |   $query = sprintf(""SELECT * from `users` where `login` like '%s' and `password` = SHA1( CONCAT('%s', `salt`)) limit 1;"",
   96 |                     mysql_real_escape_string($username),
   97 |                     mysql_real_escape_string($pass));
   98 |       }
   99 |       $res = mysql_query($query);
  100 |       if ($res)
  101 |       {
  102 |   return mysql_fetch_assoc($res);
  103 |       }
  104 |       else
  105 |       {
  106 |   if ($vuln)
  107 |   {
> 108 |      die(mysql_error());
  109 |   }
  110 |   else
  111 |   {
  112 |      return False;
  113 |   }
  114 |       }
  115 |    }
      ^ Col 0
",php.general.f239.error_message_disclosure
239. Technical information leak - Errors,CWE-209,"The display of error messages is allowed, which may reveal technical information in wackopicko/website/include/users.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,5.3,https://db.fluidattacks.com/wek/239,SAST,143,"
  117 | function similar_login($login, $vuln = False)
  118 |    {
  119 |       if ($vuln)
  120 |       {
  121 |   $query = ""SELECT * from `users` where `firstname` like '%{$login}%' and firstname != '{$login}'"";
  122 |       }
  123 |       else
  124 |       {
  125 |   $query = sprintf(""SELECT * from `users` where `firstname` like '%%%s%%' and firstname != '%s'"",
  126 |      mysql_real_escape_string($login),
  127 |      mysql_real_escape_string($login));
  128 |       }
  129 |       $res = mysql_query($query);
  130 |       if ($res)
  131 |       {
  132 |   while ($row = mysql_fetch_assoc($res))
  133 |   {
  134 |      $to_ret[] = $row;
  135 |   }
  136 |   return $to_ret;
  137 |
  138 |       }
  139 |       else
  140 |       {
  141 |   if ($vuln)
  142 |   {
> 143 |      die(mysql_error());
  144 |   }
  145 |   return False;
  146 |       }
  147 |
  148 |
  149 |    }
      ^ Col 0
",php.general.f239.error_message_disclosure
239. Technical information leak - Errors,CWE-209,"The display of error messages is allowed, which may reveal technical information in wackopicko/website/include/users.php",CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,5.3,https://db.fluidattacks.com/wek/239,SAST,61,"
  30 | function create_user($username, $pass, $firstname, $lastname, $vuln = False)
  31 |    {
  32 |       $salt = mt_rand(0, 900);
  33 |       $salt = base64_encode($salt);
  34 |       $initial_bux = 100;
  35 |       if ($vuln)
  36 |       {
  37 |   $pass = mysql_real_escape_string($pass);
  38 |   $firstname = mysql_real_escape_string($firstname);
  39 |   $pass = $pass . $salt;
  40 |   $query = ""INSERT INTO `users` (`id`, `login`, `password`, `firstname`, `lastname`, `salt`, `tradebux`, `created_on`, `l
  41 |       }
  42 |       else
  43 |       {
  44 |   $query = sprintf(""INSERT INTO `users` (`id`, `login`, `password`, `firstname`, `lastname`, `salt`, `tradebux`, `created
  45 |      mysql_real_escape_string($username),
  46 |      mysql_real_escape_string($pass . $salt),
  47 |      mysql_real_escape_string($firstname),
  48 |                    mysql_real_escape_string($lastname),
  49 |      mysql_real_escape_string($salt),
  50 |      mysql_real_escape_string($initial_bux));
  51 |
  52 |       }
  53 |       if ($res = mysql_query($query))
  54 |       {
  55 |   return mysql_insert_id();
  56 |       }
  57 |       else
  58 |       {
  59 |   if ($vuln)
  60 |   {
> 61 |      die(mysql_error());
  62 |   }
  63 |   else
  64 |   {
  65 |      return False;
  66 |   }
  67 |       }
  68 |
  69 |    }
     ^ Col 0
",php.general.f239.error_message_disclosure
063. Lack of data validation - Path Traversal,CWE-22,The application has functionality vulnerable to path traversal in wackopicko/website/admin/index.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.7,https://db.fluidattacks.com/wek/063,SAST,4,"
  1 | <?php
  2 |
  3 | $page = $_GET['page'] . '.php';
> 4 | require_once($page);
  5 |
  6 | ?>
    ^ Col 0
",php.general.f063.unsafe_file_inclusion
063. Lack of data validation - Path Traversal,CWE-22,The application has functionality vulnerable to path traversal in wackopicko/website/pictures/upload.php,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2.7,https://db.fluidattacks.com/wek/063,SAST,27,"
  19 |    }
  20 |    else
  21 |    {
  22 |       $_POST['name'] = str_replace("".."", """", $_POST['name']);
  23 |       $_POST['name'] = str_replace("" "", """", $_POST['name']);
  24 |       $_POST['name'] = str_replace(""/"", """", $_POST['name']);
  25 |       if (!file_exists(""../upload/{$_POST['tag']}/""))
  26 |       {
> 27 |   mkdir(""../upload/{$_POST['tag']}"", 0777, True);
  28 |       }
  29 |       $filename = ""../upload/{$_POST['tag']}/{$_POST['name']}"";
  30 |       $relfilename = ""{$_POST['tag']}/{$_POST['name']}"";
  31 |       if ($_POST['price'] < 0)
  32 |       {
  33 |   $_POST['price'] = abs($_POST['price']);
  34 |       }
  35 |       if (file_exists($filename))
     ^ Col 0
",php.general.f063.unsafe_file_inclusion
